Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,kapacitet,vikt,dimensioner,certifikat,"price option 50","price option 100","price option 250","price option 500","price option 1000","price option 2500","price option 5000",print-position-2,order-from,tariff-stat-no,color,print-surface,weight,dimensions,certificate,ovrigt,bestall-fran,tryck-storlek,storlek,accessories,version,tariff-stat-nn,input,output,solar-laddning,packaging,capacity,print-position-3,own-design,farg,sizes
118,"Single cable Textile Lightning 2m",14771,,"Laddningskabel med Type C / Lightning. Sladden är gjord av vävd slitstark textil i läckra färger. 2 meter lång.",14771,Laddare/Sladdar,"https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_3-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_4-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_5-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_6-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_7-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_13-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_14-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_15-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_16-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_17-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile_1-4.jpg",https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_1-1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_Pics-1.zip"" target=""_blank"" rel=""noopener"">Single cable textile Lightning_14770_71_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14771_Single-cable-Textile-Lightning-2m_SIM-1.pdf"" target=""_blank"" rel=""noopener"">14771_Single cable Textile Lightning 2m_SIM</a>",,725-sv,"50 st",8544429090,"Svart, silver, blå, röd, grön",11x5mm,Gravyr,Textil/aluminium,3A,50g,2000mm,"Rohs,Emc",55,47,42,39,38,36,34,engraving-261-2b-2-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,"Single cable Textile TypeC 2m",14781,,"Laddningskabel med Type C / Type C. Sladden är gjord av vävd slitstark textil i läckra färger. 2 meter lång.",14781,"Laddare/Sladdar,Uncategorized","https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_3-2.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_4-2.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_5-2.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_6-2.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_7-2.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_13-2.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_14-2.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_15-2.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_16-2.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_17-2.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile_1-3.jpg",https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_1-3.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_Pics-2.zip"" target=""_blank"" rel=""noopener"">Single cable textile Type C_14780_81_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14781_Single-cable-Textile-Type-C-2m_SIM.pdf"" target=""_blank"" rel=""noopener"">14781_Single cable Textile Type C 2m_SIM</a>",,725-sv,"50 st",8544429090,"Svart,silver,blå, röd, grön",11x5mm,Gravyr,Textil/aluminium,3A,50g,2000mm,"CE, Rohs, EMC",47,39,35,33,31,29,27,engraving-261-2b-2-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,"Qi Powerbank 10.000mAh with Apple Watch charging",14920,,"Den ultimata powerbanken för den Apple-frälsta. En superstark powerbank med både inbyggd trådlösladdning för din mobil samt en separat trådlös laddning för din Apple Watch. Här kan du ladda upp till tre enheter på en gång tack vare den inbyggda PD och QC snabb laddningen som finns i powerbanken. Med hela 10.000mAh har du mycket kraft till dina enheter oavsett var du befinner dig.",14920,"Laddare/Sladdar,Uncategorized","https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_4-2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_19-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_6-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_1-2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_17-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_2-2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_18-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_3-2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_7-2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_13-1-scaled.jpg",https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_5-2-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_Pics-2.zip"" target=""_blank"" rel=""noopener"">14920_QI Powerbank 10.000mAh with Apple watch charging_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_SIM-1.pdf"" target=""_blank"" rel=""noopener"">14920_QI Powerbank 10.000mAh with Apple watch charging_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14920_QI-Powerbank-10.000mAh-with-Apple-watch-charging_Manual.pdf"" target=""_blank"" rel=""noopener"">14920_QI Powerbank 10.000mAh with Apple watch charging_Manual</a>",,"715-sv,210-10s-sv,210-10-3s-sv,210-10-4s-sv,214-14m-sv","100 st",-,"Svart, vit",25x49mm,Screen,ABS,10.000mAh,243g,70x18x150mm,"CE, Rohs, EMC",,351,339,327,316,238,218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8507600065,-,-,-,-,-,-,-,-,-
121,"Ergopad Textile",14900,,"Förebygg musarm genom att använda denna musmatta med handledsstöd. Tillverkat med memory foam som formar sig efter just din handled när du arbetar. Musmattan har en undersida av naturgummi och textil på ovansida med stor plats för tryck och information. En musmatta för din framtid.

Vi använder FSC sublimeringspapper, färgerna är vattenbaserade och OEKO-TEX Certifierade. Produceras in-house i Malmö.

Under 50st begär pris.",14900,"Musmattor/Gaming,Uncategorized","https://www.usb.nu/wp-content/uploads/2021/07/Ergopad_14900_2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Ergopad_14900_3-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Ergopad_14900_4-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Ergopad_14900_11.jpg",https://www.usb.nu/wp-content/uploads/2021/07/Ergopad_14900_1-SWE-2.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/07/Ergopad_14900_Pics.zip"" target=""_blank"" rel=""noopener"">Ergopad_14900_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14900_Ergopad-Textile_SIM-1.pdf"" target=""_blank"" rel=""noopener"">14900_Ergopad Textile_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/14900-Declaration-of-conformity.pdf"" target=""_blank"" rel=""noopener"">14900 Declaration of conformity</a>",,730-sv,"50 st",4016999790,"Vit textil svart botten","200x240 oval formad","Fullfärgstryck CMYK",Naturgummi/textil,-,124g,"200x240x2,5mm",Reach,109,99,89,79,74,62,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,"4in1 Textile Alu cable 1m",14860,,"Exklusiv och snygg kabel som ger en exklusiv känsla genom den starka textilen och de robusta kontakterna. Finns i massor med färger och kommer i två olika längder 1 meter eller 2 meter.

<a href=""https://www.usb.nu/produkt/4in1-textile-alu-cable-2m/"">4in1 Textile Alu cable 2m</a>",14860,"Laddare/Sladdar,Uncategorized","https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_5-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_4-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_3-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_7-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_12-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_16-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_21-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_25-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_30-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_34-scaled.jpg",https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_0.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_Pics.zip"" target=""_blank"" rel=""noopener"">4in1 Textile Alu cable_14850_14860_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14860_4in1-Textile-Alu-cable-1m_SIM-1.pdf"" target=""_blank"" rel=""noopener"">14860_4in1 Textile Alu cable 1m_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14860-Declaration-of-Conformity-1.pdf"">14860 Declaration of Conformity</a>",,725-sv,"100 st",8544429090,"Mörkgrå, silver, blå, grön, orange, lila, röd",24x10mm/32x7mm,Lasergravyr,Textil/aluminium,3A,50g,1000mm,"CE, Rohs, EMC",,54,49,46,44,41,39,engraving-261-2b-2-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,"4in1 Textile Alu cable 2m",14850,,"Exklusiv och snygg kabel som ger en exklusiv känsla genom den starka textilen och de robusta kontakterna. Finns i massor med färger och kommer i två olika längder 1 meter eller 2 meter.

<a href=""https://www.usb.nu/produkt/4in1-textile-alu-cable-1m/"">4in1 Textile Alu cable 1m</a>",14850,"Laddare/Sladdar,Uncategorized","https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_30-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_31-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_01.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_3-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_4-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_9-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_7-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_8-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_14-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_12-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_13-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_18-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_16-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_17-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_23B.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_21-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_22-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_27-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_25-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_26-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_34-1-scaled.jpg",https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_32-1-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/07/4in1-Textile-Alu-cable_14850_14860_Pics-1.zip"" target=""_blank"" rel=""noopener"">4in1 Textile Alu cable_14850_14860_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14850_4in1-Textile-Alu-cable-2m_SIM-1.pdf"" target=""_blank"" rel=""noopener"">14850_4in1 Textile Alu cable 2m_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14850-Declaration-of-Conformity-1.pdf"">14850 Declaration of Conformity</a>",,725-sv,"100 st",8544429090,"Mörkgrå, silver, blå, grön, orange, lila, röd",24x10mm/32x7mm,Lasergravyr,Textil/aluminium,3A,70g,2000mm,"CE, Rohs, EMC",,65,59,57,54,51,49,engraving-261-2b-2-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,"LED Qi 15W Magsafe charger",14840,,"En stark, trådlös iPhone Magsafe laddare på hela 15W med en stark magnet som gör att den sitter bra mot din iPhone 12 eller senare mobil/ modeller. Logon visas snyggt i LED och sticker ut i mängden och gör den till en perfekt gåva.",14840,"Laddare/Sladdar,Uncategorized","https://www.usb.nu/wp-content/uploads/2021/07/LED-Qi-Magsafe-charger_14840_1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/LED-Qi-Magsafe-charger_14840_10.jpg,https://www.usb.nu/wp-content/uploads/2021/07/LED-Qi-Magsafe-charger_14840_3.jpg,https://www.usb.nu/wp-content/uploads/2021/07/LED-Qi-Magsafe-charger_14840_4.jpg,https://www.usb.nu/wp-content/uploads/2021/07/LED-Qi-Magsafe-charger_14840_5.jpg,https://www.usb.nu/wp-content/uploads/2021/07/LED-Qi-Magsafe-charger_14840_6.jpg,https://www.usb.nu/wp-content/uploads/2021/07/LED-Qi-Magsafe-charger_14840_7.jpg",https://www.usb.nu/wp-content/uploads/2021/07/LED-Qi-Magsafe-charger_14840_2.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/07/LED-Qi-Magsafe-charger_14840_Pics-1.zip"" target=""_blank"" rel=""noopener"">LED Qi Magsafe charger_14840_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14840_LED-QI-Magsafe-charger_SIM.pdf"" target=""_blank"" rel=""noopener"">14840_LED QI Magsafe charger_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14840-LED-Qi-Magsafe-Charger_Manual.pdf"" target=""_blank"" rel=""noopener"">14840 LED Qi Magsafe Charger_Manual</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14840-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">14840 Declaration of Conformity</a>",,725-sv,"100 st",8504409590,"Svart, vit",35x35mm,"LED,Fullfärgstryck",ABS,15W,44g,"56,5mm rund","CE, Rohs, EMC",151,114,104,98,89,83,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,"Single cable Textile TypeC 1m",14780,,"Laddningskabel med Type C / Type C. Sladden är gjord av vävd slitstark textil i läckra färger. 1 meter lång.",14780,"Laddare/Sladdar,Uncategorized","https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_1-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_8-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_10-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_11-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_12-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_13-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_14-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_16-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_15-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_17-1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile_4-2.jpg",https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_9-1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Type-C_14780_81_Pics-1.zip"" target=""_blank"" rel=""noopener"">Single cable textile Type C_14780_81_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14780_Single-cable-Textile-Type-C-1m_SIM.pdf"" target=""_blank"" rel=""noopener"">14780_Single cable Textile Type C 1m_SIM</a>",,725-sv,"100 st",8544429090,"Svart, silver, blå, röd, grön",11x5mm,Gravyr,Textil/aluminium,3A,30g,1000mm,"CE, Rohs, EMC",,33,29,26,25,24,22,engraving-261-2b-2-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,"Single cable Textile Lightning 1m",14770,,"Laddningskabel med Type C / Lightning. Sladden är gjord av vävd slitstark textil i läckra färger. 1 meter lång.",14770,"Laddare/Sladdar,Uncategorized","https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_1.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_9.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_10.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_11.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_12.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_13-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_14-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_15-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_16-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_17-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile_2.jpg",https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_8.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/07/Single-cable-textile-Lightning_14770_71_Pics.zip"" target=""_blank"" rel=""noopener"">Single cable textile Lightning_14770_71_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/07/14770_Single-cable-Textile-Lightning-1m_SIM.pdf"" target=""_blank"" rel=""noopener"">14770_Single cable Textile Lightning 1m_SIM</a>",,725-sv,"50 st",8544429090,"Svart, silver, blå, röd, grön",11x5mm,Gravyr,Textil/aluminium,3A,30g,1000mm,"CE, Rohs, EMC",47,39,35,32,30,29,27,engraving-261-2b-2-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,"PU Card holder stand",14750,,"Smart korthållare med ett dolt fack för ditt kreditkort. Enkelt att fästa hållaren på din telefon som dessutom har stativfunktion.

Superenkelt att fälla upp till ett vertikalt läge på 60° som är designat för att passa 90% av mobiltelefonens användande, vill man hellre ha den i landskapsläge är det bara att vända på telefonen.

Den tunna designen, endast 5 mm tjockt, gör att du lätt kan ha det sittande på telefonen utan att vara i vägen. Går även att klistra på ditt skal.",14750,Mobiltillbehör,"https://www.usb.nu/wp-content/uploads/2021/06/PU-Phone-holder_14750_2.jpg,https://www.usb.nu/wp-content/uploads/2021/06/PU-Phone-holder_14750_3.jpg,https://www.usb.nu/wp-content/uploads/2021/06/PU-Phone-holder_14750_14.jpg,https://www.usb.nu/wp-content/uploads/2021/06/PU-Phone-holder_14750_7.jpg,https://www.usb.nu/wp-content/uploads/2021/06/PU-Phone-holder_14750_8.jpg,https://www.usb.nu/wp-content/uploads/2021/06/PU-Phone-holder_14750_6.jpg,https://www.usb.nu/wp-content/uploads/2021/06/PU-Phone-holder_14750_5.jpg,https://www.usb.nu/wp-content/uploads/2021/06/PU-Phone-holder_14750_4.jpg",https://www.usb.nu/wp-content/uploads/2021/06/PU-Phone-holder_14750_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/06/PU-Phone-holder_14750_Pics.zip"" target=""_blank"" rel=""noopener"">PU Phone holder_14750_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/06/14750_PU-Card-holder_SIM.pdf"" target=""_blank"" rel=""noopener"">14750_PU Card holder_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/14750-Declaration-of-conformity.pdf"" target=""_blank"" rel=""noopener"">14750 Declaration of conformity</a>","[video width=""1280"" height=""720"" mp4=""https://www.usb.nu/wp-content/uploads/2021/06/CP-190211-3M-PU-phone-holder-1.mp4""][/video]",765-sv,"100 st",4202310090,Svart,40x12mm,Prägling,"PU läder",-,29g,100x65mm,Reach,,39,35,28,25,23,21,202-2-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,"Selfie Stick Tripod",14740,,"Selfie Stick Tripod 3i1 med avtagbar, trådlös fjärrkontroll.

Allt för att underlätta att ta en selfie, gruppfoto eller spela in en video. Använd den som bordstativ eller dra ut den i full längd. Den utdragbara stången är tillverkad av hållbart rostfritt stål.

Justerbar och roterbar i 270°

Rotationshuvudet låter dig hitta favoritfotograferingsvinklar för tex livesändning, ta gruppfoton fester, examen, bröllop eller resor.

Kompatibel med de flesta mobiler på dagens marknad så som iPhone och Android mfl. Bluetooth anslutningsområdet är upp till 10 m.

Enfärgstryck endast möjligt vid 100st. Flerfärgstryck från 250st",14740,Mobiltillbehör,"https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_10.jpg,https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_5.jpg,https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_18-scaled.jpg,https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_6.jpg,https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_3.jpg,https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_4.jpg,https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_7.jpg,https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_2.jpg,https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_19-scaled.jpg",https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_17-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-Stick-w-Tripod_PIC.zip"" target=""_blank"" rel=""noopener"">14740_Selfie Stick w Tripod_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/06/14740_Selfie-stick_SIM.pdf"" target=""_blank"" rel=""noopener"">14740_Selfie stick_SIM</a>",,"715-sv,210-10s-sv,210-10-3s-sv,210-10-4s-sv,214-14m-sv","50 st",8537109899,Svart,10x40mm/10x25mm,Screen,Abs/Aluminium,-,115g,48x32x185mm,Reach,77,69,66,64,61,46,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
