Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,color,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,vikt,dimensioner,certifikat,"price option 50","price option 100","price option 250","price option 500","price option 1000","price option 2500","price option 5000",order-from,tariff-stat-no,print-surface,weight,dimensions,certificate,capacity,kapacitet,packaging,other,ovrigt,buy-from,standard-colour,imprint-surface,dimension,certificat,version,print-position-2,accessories,dimensionsr,print-area,dimensiones,colour,solar-charger,input,output,solar-laddning,printing-surface,tariff-statno,print-position-3,own-design,farg,sizes
10,"LED MegaBeam HeadLight Swipe",625-00.001,,"Rechargeable high-tech headlight with 120 lumens/3 watt chip-LED light and 350 lumens/5 watts COB lightband- ideal to keep your hands free to work, Innovative swiped movement sensor. COB and LED 2 light modes 100%, 50% and flashing function. (Worktime: at 100% minimum 3h COB, 4H LED and at 50% up to 6.5 hours). Security through a signal reflector strap on the back. ecofriendly through 1200 mAh lithium polymer battery  and 2 light modes + flashing LED had 120 lumens COB on the band 350 lumens  plus motion sensor activated chip. And  reflector band for visibility at night.",625-00.001,"Accessories,News",,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/625-00.001_LED-MegaBeam-Headlight-Swipe_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/625-00-001_LED-MegaBeam-HeadLight-Swipe_SIM.pdf"" target=""_blank"" rel=""noopener"">625-00-001_LED MegaBeam HeadLight Swipe_SIM</a>",,715,Black/yellow/silver,-,-,-,-,Screen,Silicone/plastic,-,-,-,119,85,82,78,75,72,69,"100 pcs",85131000000,"15x10mm on light, 30x15mm on buckle",69g,290x32x18mm,"Rohs,EMC",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,"LED MegaBeam HeadLight Swipe",625-00.001,,"Uppladdningsbar högteknologisk pannlampa med 120 lumen/3 watt chip-LED-ljus och 350 lumen/5 watt COB-ljusband - perfekt för att hålla händerna fria för att arbeta, Innovativ svepande rörelsesensor tänder och släcker ljuset med en enkel handrörelse. COB och LED lamporna har 2 ljuslägen 100%, 50% och blinkande funktion.   Extra säkerhet genom en reflexrem som är fastsydd på baksidan av pannbandet. Miljövänlig genom ett uppladdningsbart 1200 mAh litiumpolymerbatteri .",625-00.001,"Nyheter,Övrigt",,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/625-00.001_LED-MegaBeam-Headlight-Swipe_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/625-00-001_LED-MegaBeam-HeadLight-Swipe_SIM.pdf"" target=""_blank"" rel=""noopener"">625-00-001_LED MegaBeam HeadLight Swipe_SIM</a>",,715-sv,-,"100 st",85131000000,Svart/gul/silver,"15x10mm på lampa, 30x15mm på spänne",Screen,Silikon/plast,69g,290x32x18mm,"Rohs,EMC",119,85,82,78,75,72,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,"Worklight Recharge Tech",522-00.001,,"The perfect worklight - environmentally friendly rechargeable (top capacity 600 mAh , ultra-compact, foldable, magnetic and clipablewith combined LED high beam and COB work light illumination. (incl. red warning light for loading and unloading/repairs on the road), easy-to-grip plastic with aluminum advertising medium. 120 lumens and including charging cable.",522-00.001,"Accessories,News","https://elvirainfotech.live/usb/wp-content/uploads/2022/12/522-00.001_LED-MegaBeam-Worklight-Recharge-Tech_1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/522-00.001_LED-MegaBeam-Worklight-Recharge-Tech_2.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/522-00.001_LED-MegaBeam-Worklight-Recharge-Tech_4.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2022/12/522-00.001_LED-MegaBeam-Worklight-Recharge-Tech_3.jpg,,,725,Black,-,-,-,-,"Laser engraving",Metal/plastic,-,-,-,119,85,79,75,72,69,67,"100 pcs",85131000000,60x15mm,60g,45x110x25mm,"Rohs, EMC",600mAh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,"Worklight Recharge Tech",522-00.001,,"Den perfekta arbetslampan - miljövänlig och uppladdningsbar kapacitet på hela 600 mAh ultrakompakt, hopfällbar, magnetisk och klämbar med kombinerat LED helljus och COB arbetsljusbelysning. (inkl. röd varningslampa för lastning och lossning/reparationer på vägen), lättgreppad yta och ficklampan i aluminium. Hela 120 lumen i ljusstyrka.",522-00.001,"Nyheter,Övrigt","https://elvirainfotech.live/usb/wp-content/uploads/2022/12/522-00.001_LED-MegaBeam-Worklight-Recharge-Tech_1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/522-00.001_LED-MegaBeam-Worklight-Recharge-Tech_2.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/522-00.001_LED-MegaBeam-Worklight-Recharge-Tech_4.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2022/12/522-00.001_LED-MegaBeam-Worklight-Recharge-Tech_3.jpg,,,725-sv,-,"100 st",85131000000,Svart,60x15mm,Lasergravyr,Aluminium,60g,45x110x25mm,"Rohs,EMC",119,85,79,75,72,69,67,-,-,-,-,-,-,-,600mAh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,"LED MegaBeam Light Mini Square ReCharge",600-00.001,,"Innovative rechargeable 500mAh, aluminum ""key fob"" worklight with super bright 500 lumen COB light. 3 light modes 100%, 70% and strobe light. Environmentally friendly without disposable batteries, but rechargeable with a lithium polymer battery - multi-use: home working, breakdown, sport, household, everyday life thanks to a wide range of attachment options using a carbine on a key ring/bag or using a magnet or using the integrated setup mechanism or using a 6 mm thread on a tripod/selfie stick. Cap lifter is also on board. 2 light modes + flashing, COB 500 lumens light duration 3.0h at 100%.",600-00.001,"Accessories,News",,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/600-00.001_LED-MegaBeam-Light-Mini-Square-Light-ReCharge_1.jpg,,,715,Black,-,-,-,-,Screen,Plastic/Aluminium,-,-,-,118,86,79,77,73,69,67,"100 pcs",85131000000,30x8mm,43g,46x60x20mm,"Rohs,EMC",500mAh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,"LED MegaBeam Light Mini Square ReCharge",600-00.001,,"Innovativ uppladdningsbar 500mAh ""nyckelbricks""-arbetslampa i aluminium med superstarkt 500 lumen COB-ljus. 3 ljuslägen 100%, 70% och blixtljus. Miljövänlig utan engångsbatterier,  uppladdningsbar med ett litiumpolymerbatteri - Kan användas på många områden som vid hemarbete,  sport aktivitet,  i hemmet, i bilen. Tack vare ett brett utbud av fästalternativ med en karbinhake på en nyckelring eller med hjälp av  magneten eller att ha den stående med hjälp av clipset Även ölöppnare är inbyggd. Lystid vid 100% effekt är 3 timmar",600-00.001,"Nyheter,Övrigt",,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/600-00.001_LED-MegaBeam-Light-Mini-Square-Light-ReCharge_1.jpg,,,715-sv,-,"100 st",85131000000,Svart,30x8mm,Screen,Plast/aluminium,43g,46x60x20mm,"Rohs,EMC",118,86,79,77,73,69,67,-,-,-,-,-,-,-,500mAh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,"LED MegaBeam Security COB",618-00.001,,"Super combination for the car: powerful flood worklight with many safety features. Emergency hammer, belt cutter, magnet holder to place on the roof of the car or above the wheel when you need to change the tyre.",618-00.001,"Accessories,News","https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_4.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_5.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_6.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_2.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_3.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_7.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/618-00.001_LED-MegaBeam-Security-COB_PIC.zip"" target=""_blank"" rel=""noopener"">618-00.001_LED MegaBeam Security COB_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/01/618-00-001_LED-MegaBeam-Security-COB_SIM-1.pdf"" target=""_blank"" rel=""noopener"">618-00-001_LED MegaBeam Security COB_SIM</a>",,725,Black,-,-,-,-,"Laser engraving or Tampo",Metal,-,-,-,99,71,66,63,59,57,55,"1000 pcs",85131000000,40x10mm,65g,150x22mm,"Rohs,EMC",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,"LED Megabeam Light Tech Pen",883-00.012,,"Lightweight flashlight with a white bright, focused LED and wide clip for easy carriage on your jacket or shirt. Protected against splash water and built in over-voltage protection.",883-00.012,"Accessories,News",,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/883-00.012_LED-Megabeam-Light-TechPen-Titan_1.jpg,,,725,Titan,-,-,-,-,Laserengraving,Metal,-,-,-,72,42,38,36,34,32,31,"100 pcs",85131000000,30x6mm,38g,111x14x14,"Rohs, EMC","1 AAA battery",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,"LED Megabeam Light Tech Pen",883-00.012,,"Ficklampa med en fokuserad LED med vitt ljus och en bred klämma för att fästa den i jackan eller tröjan. Stänksäker och med inbyggt överspänningsskydd.",883-00.012,"Nyheter,Övrigt",,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/883-00.012_LED-Megabeam-Light-TechPen-Titan_1.jpg,,,725-sv,-,"100 st",85131000000,Titan,30x6mm,Lasergravyr,Metall,38g,111x14x14mm,"Rohs,EMC",72,42,38,36,34,32,31,-,-,-,-,-,-,-,"1 AAA batteri",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,"LED MegaBeam Security COB",618-00.001,,"Superkombination för bilen: kraftfull arbetsstrålkastare med många säkerhetsfunktioner. Nödhammare, bältesklippare, magnethållare att placera på bilens tak eller ovanför hjulet när du behöver byta däck.",618-00.001,"Nyheter,Övrigt","https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_4.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_5.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_6.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_2.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_3.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_7.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2022/12/618-00.001_LED-MegaBeam-Security-COB_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/618-00.001_LED-MegaBeam-Security-COB_PIC.zip"" target=""_blank"" rel=""noopener"">618-00.001_LED MegaBeam Security COB_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/01/618-00-001_LED-MegaBeam-Security-COB_SIM-1.pdf"" target=""_blank"" rel=""noopener"">618-00-001_LED MegaBeam Security COB_SIM</a>",,725-sv,-,"100 st",85131000000,Svart,40x10mm,"Lasergravyr eller Tampo",Metall,65g,150x22mm,"Rohs, EMC",99,71,66,63,59,57,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,"Fitness Tracker Smart Eco",885-00.000,,"Best Buy fitness tracker with top functionality (health heart rate, blood oxygen, blood pressure), sports functions (4 sports), call, message display and much more - sporty IP5, splash-proof, easily rechargeable (45 minutes, average operating time 5 days) high-quality lithium-polymer battery, IPX 6/7, usage 5 days standby 10 days.",885-00.000,"Accessories,News",https://elvirainfotech.live/usb/wp-content/uploads/2022/12/885-00.000_Fitnesstracker-SmartEco_1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/885-00.000_Fitnesstracker-SmartEco_1.jpg,,,"715,211-11m",Black,-,-,-,-,Screen,Metal,-,-,-,185,148,141,135,129,124,119,"100 pcs","91021200 000",20x2mm,26g,230x35x12mm,"Rohs, EMC",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,"Fitness Tracker Smart Eco",885-00.000,,"Smart ECO fitnesstracker med toppfunktionalitet (hälsopuls, blodsyre, blodtryck), sportfunktioner (4 sporter), samtal, meddelandedisplay och mycket mer - sportig IPX67 vattensäker snabbladdningsbar (45 minuter, genomsnittlig drifttid) 5 dagar) högkvalitativt litiumpolymerbatteri, IPX 67 med hela 10 dagars standby.",885-00.000,"Nyheter,Övrigt",https://elvirainfotech.live/usb/wp-content/uploads/2022/12/885-00.000_Fitnesstracker-SmartEco_1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/885-00.000_Fitnesstracker-SmartEco_1.jpg,,,"715-sv,211-11m-sv",-,"100 st","91021200 000",Black,20x2mm,Screen,Metall,26g,230x35x12mm,"Rohs, EMC",185,148,141,135,129,124,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"LED MegaBeam Flashlight 3W",693-00.003,,"High-performance LED flashlight in an aluminum body, extremely economical and bright light. The 3W LED light is protected against  water splash and over voltage protection circut.",693-00.003,"Accessories,News","https://elvirainfotech.live/usb/wp-content/uploads/2022/12/LED-MegaBeam-Flashlight_693-00.003_1red.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/LED-MegaBeam-Flashlight_693-00.003_2blue.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/LED-MegaBeam-Flashlight_693-00.003_5.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2022/12/LED-MegaBeam-Flashlight_693-00.003_4.jpg,,,725,"Blue, red",-,-,-,-,Laserengraving,Metal,-,-,-,88,59,57,53,49,46,42,"100 pcs","85131000 000",25x8mm,83g,27x27x100mm,"Rohs, EMC",3W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
